#This is a simple dump of all loaded liquids, in raw form, with their block names (in brackets) and their localized names, in the format of:

#FLUIDID 										  (FLUIDBLOCK)																	   = FLUIDLOCALIZEDNAME

#ANY AND ALL CHANGES TO THIS FILE WILL BE REPLACED WHEN THIS FILE IS REGENERATED NEXT TIME THE GAME IS RUN. THIS IS FOR INFORMATIONAL PURPOSES ONLY AND IS NOT A CONFIG FILE!

water                                             (minecraft:water)                                                                = Ë®
resin                                             ([no block])                                                                     = Ê÷Ö¬
tree_oil                                          ([no block])                                                                     = Ê÷ÓÍ
seed_oil                                          ([no block])                                                                     = ÖÖ×ÓÓÍ
biocrude                                          ([no block])                                                                     = ÉúÎïÖÊÔ­ÓÍ
refined_biofuel                                   ([no block])                                                                     = Ş½Ïã¼î
mushroom_stew                                     ([no block])                                                                     = Ä¢¹½ìÒ
experience                                        ([no block])                                                                     = ÖªÊ¶¾«»ª
potion                                            ([no block])                                                                     = Ò©Ë®
potion_splash                                     ([no block])                                                                     = Åç½¦Ò©Ë®
potion_lingering                                  ([no block])                                                                     = ÖÍÁôÒ©Ë®
redstone                                          (thermalfoundation:fluid_redstone)                                               = ²»ÎÈ¶¨ºìÊ¯
glowstone                                         (thermalfoundation:fluid_glowstone)                                              = ³äÄÜÒºÌ¬Ó«Ê¯
ender                                             (thermalfoundation:fluid_ender)                                                  = Ğ³ÕñÄ©Ó°ÕäÖé
pyrotheum                                         (thermalfoundation:fluid_pyrotheum)                                              = ÁÒÑæÖ®³ãìÍ
cryotheum                                         (thermalfoundation:fluid_cryotheum)                                              = ¼«º®Ö®Áİ±ù
aerotheum                                         (thermalfoundation:fluid_aerotheum)                                              = ·ÉÑïÖ®Çå·ç
petrotheum                                        (thermalfoundation:fluid_petrotheum)                                             = °å¿éÖ®²ãÑÒ
mana                                              (thermalfoundation:fluid_mana)                                                   = ÔªÊ¼Ä§Á¦
platinum                                          ([no block])                                                                     = ÈÛÈÚ²¬
iridium                                           ([no block])                                                                     = ÈÛÈÚÒ¿
invar                                             ([no block])                                                                     = ÈÛÈÚÒó¸Ö
constantan                                        (immersiveengineering:molten_constantan)                                         = ÈÛÈÚ¿µÍ­
signalum                                          ([no block])                                                                     = ÈÛÈÚĞÅËØ
lumium                                            ([no block])                                                                     = ÈÛÈÚÁ÷Ã÷
enderium                                          ([no block])                                                                     = ÈÛÈÚÄ©Ó°
electrical_steel                                  (enderio:block_fluid_electrical_steel)                                           = ÈÛÈÚ´Å¸Ö
energetic_alloy                                   (enderio:block_fluid_energetic_alloy)                                            = ÈÛÈÚ³äÄÜºÏ½ğ
vibrant_alloy                                     (enderio:block_fluid_vibrant_alloy)                                              = ÈÛÈÚÂö³åºÏ½ğ
redstone_alloy                                    (enderio:block_fluid_redstone_alloy)                                             = ÈÛÈÚºìÊ¯ºÏ½ğ
conductive_iron                                   (enderio:block_fluid_conductive_iron)                                            = ÈÛÈÚµ¼µçÌú
pulsating_iron                                    (enderio:block_fluid_pulsating_iron)                                             = ÈÛÈÚ³äÄÜÌú
dark_steel                                        (enderio:block_fluid_dark_steel)                                                 = ÈÛÈÚĞş¸Ö
soularium                                         (enderio:block_fluid_soularium)                                                  = ÈÛÈÚ»ê½ğ
end_steel                                         (enderio:block_fluid_end_steel)                                                  = ÈÛÈÚÄ©Ó°¸Ö
construction_alloy                                (enderio:block_fluid_construction_alloy)                                         = ÈÛÈÚÌúºÏ½ğ
bloodbronze                                       ([no block])                                                                     = Molten Blood Bronze
ic2uu_matter                                      (ic2:uu_matter)                                                                  = UUÎïÖÊ
ic2construction_foam                              (ic2:construction_foam)                                                          = ½¨ÖşÅİÄ­
ic2coolant                                        (ic2:coolant)                                                                    = IC2ÀäÈ´Òº
ic2creosote                                       (ic2:creosote)                                                                   = ÔÓ·ÓÓÍ
ic2hot_coolant                                    (ic2:hot_coolant)                                                                = IC2ÈÈÀäÈ´Òº
ic2pahoehoe_lava                                  (ic2:pahoehoe_lava)                                                              = Éş×´ÈÛÑÒ
ic2biomass                                        (ic2:biomass)                                                                    = ÉúÎïÖÊ
ic2biogas                                         (ic2:biogas)                                                                     = ÕÓÆø
ic2distilled_water                                (ic2:distilled_water)                                                            = ÕôÁóË®
ic2superheated_steam                              (ic2:superheated_steam)                                                          = ¹ıÈÈÕôÆû
ic2steam                                          (ic2:steam)                                                                      = ÕôÆû
ic2hot_water                                      (ic2:hot_water)                                                                  = ÎÂÈªË®
ic2weed_ex                                        (ic2:weed_ex)                                                                    = ³ı²İ¼ÁÅçÎí
ic2air                                            (ic2:air)                                                                        = ¿ÕÆø
ic2hydrogen                                       (ic2:hydrogen)                                                                   = ÇâÆø
ic2oxygen                                         (ic2:oxygen)                                                                     = ÑõÆø
ic2heavy_water                                    (ic2:heavy_water)                                                                = ÖØË®
bio.ethanol                                       (forestry:fluid.bio.ethanol)                                                     = ÒÒ´¼
biomass                                           (forestry:fluid.biomass)                                                         = ÉúÎïÖÊ
glass                                             (forestry:fluid.glass)                                                           = ÒºÌ¬²£Á§
for.honey                                         (forestry:fluid.for.honey)                                                       = ·äÃÛ
ice                                               (forestry:fluid.ice)                                                             = Ëé±ù
juice                                             (forestry:fluid.juice)                                                           = ¹ûÖ­
milk                                              (forestry:fluid.milk)                                                            = Å£ÄÌ
seed.oil                                          (forestry:fluid.seed.oil)                                                        = ÖÖ×ÓÓÍ
short.mead                                        (forestry:fluid.short.mead)                                                      = ·äÃÛ¾Æ
xu_evil_metal                                     ([no block])                                                                     = ¶ñÄ§¹à×¢Ìú
xu_enchanted_metal                                ([no block])                                                                     = ¸½Ä§½ğÊô
xu_demonic_metal                                  ([no block])                                                                     = ÈÛÈÚ¶ñÄ§½ğÊô
plantoil                                          (immersiveengineering:fluidplantoil)                                             = Ö²ÎïÓÍ
ethanol                                           (immersiveengineering:fluidethanol)                                              = ÒÒ´¼
biodiesel                                         (immersiveengineering:fluidbiodiesel)                                            = ÉúÎï²ñÓÍ
concrete                                          (immersiveengineering:fluidconcrete)                                             = ÒºÌ¬»ìÄıÍÁ
uranium                                           (immersiveengineering:molten_uranium)                                            = ÈÛÈÚÓË
dist_water                                        (immersivetech:fluiddistwater)                                                   = ÕôÁóË®
essence                                           (industrialforegoing:essence)                                                    = ¾«»ªÒº
meat                                              (industrialforegoing:meat)                                                       = ÈâÌÀ
latex                                             (industrialforegoing:latex)                                                      = ½ºÈé
sewage                                            (industrialforegoing:sewage)                                                     = ÎÛË®
sludge                                            (industrialforegoing:sludge)                                                     = ÎÛÄà
biofuel                                           (industrialforegoing:biofuel)                                                    = ÉúÎïÈ¼ÓÍ
if.pink_slime                                     (industrialforegoing:if.pink_slime)                                              = ·ÛºìÊ·À³Ä·
if.protein                                        (industrialforegoing:if.protein)                                                 = µ°°×ÖÊ
if.ore_fluid_raw                                  ([no block])                                                                     = Éú¿óÎïÈâÌÀ
if.ore_fluid_fermented                            ([no block])                                                                     = ·¢½Í¿óÎïÈâÌÀ
menrilresin                                       (integrateddynamics:block_menril_resin)                                          = ÃÅÈğÅ·Ê÷Ö¬
liquidchorus                                      (integrateddynamics:block_liquid_chorus)                                         = ×ÏËÌ¹ûÖ­
titanium_tetrachloride_gas                        (mekatweaker:titanium_tetrachloride_gas)                                         = ÒºÌ¬ÈıÂÈ»¯îÑ
silicon_tetrachloride_gas                         (mekatweaker:silicon_tetrachloride_gas)                                          = ÒºÌ¬ÈıÂÈ»¯¹è
soulium                                           (mysticalagradditions:molten_soulium)                                            = ÈÛÈÚÀë»ê
base_essence                                      (mysticalagradditions:molten_base_essence)                                       = ÈÛÈÚ»ù´¡¾«»ª
inferium                                          (mysticalagradditions:molten_inferium)                                           = ÈÛÈÚÏÂ¼¶¾«»ª
prudentium                                        (mysticalagradditions:molten_prudentium)                                         = ÈÛÈÚ³õ¼¶¾«»ª
intermedium                                       (mysticalagradditions:molten_intermedium)                                        = ÈÛÈÚÖĞ¼¶¾«»ª
superium                                          (mysticalagradditions:molten_superium)                                           = ÈÛÈÚ¸ß¼¶¾«»ª
supremium                                         (mysticalagradditions:molten_supremium)                                          = ÈÛÈÚÖÕ¼«¾«»ª
xpjuice                                           ([no block])                                                                     = ÒºÌ¬¾­Ñé
etchacid                                          (pneumaticcraft:fluid.etchacid)                                                  = Ê´¿ÌËá
plastic                                           (pneumaticcraft:fluid.plastic)                                                   = ÒºÌ¬ËÜÁÏ
oil                                               (pneumaticcraft:fluid.oil)                                                       = Ô­ÓÍ
lpg                                               (pneumaticcraft:fluid.lpg)                                                       = Òº»¯Ê¯ÓÍÆø£¨LPG£©
fuel                                              (pneumaticcraft:fluid.fuel)                                                      = È¼ÓÍ
kerosene                                          (pneumaticcraft:fluid.kerosene)                                                  = ÃºÓÍ
diesel                                            (pneumaticcraft:fluid.diesel)                                                    = ²ñÓÍ
lubricant                                         (pneumaticcraft:fluid.lubricant)                                                 = Èó»¬ÓÍ
nutrient_distillation                             (enderio:block_fluid_nutrient_distillation)                                      = ÓªÑø¾«»ªÒº
ender_distillation                                (enderio:block_fluid_ender_distillation)                                         = ÉîÔ¨Â¶Ë®
vapor_of_levity                                   (enderio:block_fluid_vapor_of_levity)                                            = ÇáÓ¯Ö®Æø
hootch                                            (enderio:block_fluid_hootch)                                                     = ÁÒ¾Æ
rocket_fuel                                       (enderio:block_fluid_rocket_fuel)                                                = »ğ¼ıÈ¼ÁÏ
fire_water                                        (enderio:block_fluid_fire_water)                                                 = »ğÑæË®
liquid_sunshine                                   (enderio:block_fluid_liquid_sunshine)                                            = ÒºÌ¬Ñô¹â
cloud_seed                                        (enderio:block_fluid_cloud_seed)                                                 = ÔÆÖ®¾«»ª
cloud_seed_concentrated                           (enderio:block_fluid_cloud_seed_concentrated)                                    = Å¨ËõÔÆÖ®¾«»ª
lifeessence                                       (bloodmagic:life_essence)                                                        = ÉúÃüÔ´ÖÊ
flux_goo                                          (thaumcraft:flux_goo)                                                            = Öä²¨ğ¤½¬
liquid_death                                      (thaumcraft:liquid_death)                                                        = ËÀÍöÖ®Ë®
purifying_fluid                                   (thaumcraft:purifying_fluid)                                                     = ¾»»¯Ö®Ë®
stone                                             (tconstruct:molten_stone)                                                        = ÈÛÈÚ½¹ºÚÊ¯Í·
obsidian                                          (tconstruct:molten_obsidian)                                                     = ÈÛÈÚºÚê×Ê¯
clay                                              (tconstruct:molten_clay)                                                         = ÈÛÈÚÕ³ÍÁ
dirt                                              (tconstruct:molten_dirt)                                                         = ÒºÌ¬ÄàÍÁ
emerald                                           (tconstruct:molten_emerald)                                                      = ÈÛÈÚÂÌ±¦Ê¯
blood                                             (tconstruct:blood)                                                               = Ñª
blueslime                                         (tconstruct:blueslime)                                                           = ÒºÌ¬À¶É«Ê·À³Ä·
purpleslime                                       (tconstruct:purpleslime)                                                         = ÒºÌ¬×ÏÉ«Ê·À³Ä·
astralsorcery.liquidstarlight                     (astralsorcery:fluidblockliquidstarlight)                                        = ĞÇÄÜÒº
